+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|               845 | 30 |   RUNNING |   WAITING |
|               845 | 10 |     READY |   RUNNING |
|               850 | 10 |   RUNNING |   WAITING |
|               850 | 20 |     READY |   RUNNING |
|               857 | 20 |   RUNNING |   WAITING |
|               860 | 30 |   WAITING |     READY |
|               860 | 10 |   WAITING |     READY |
|               860 | 10 |     READY |   RUNNING |
|               865 | 10 |   RUNNING |   WAITING |
|               865 | 30 |     READY |   RUNNING |
|               869 | 20 |   WAITING |     READY |
|               875 | 10 |   WAITING |     READY |
|               875 | 30 |   RUNNING |   WAITING |
|               875 | 10 |     READY |   RUNNING |
|               880 | 10 |   RUNNING |   WAITING |
|               880 | 20 |     READY |   RUNNING |
|               887 | 20 |   RUNNING |   WAITING |
|               890 | 30 |   WAITING |     READY |
|               890 | 10 |   WAITING |     READY |
|               890 | 10 |     READY |   RUNNING |
|               895 | 10 |   RUNNING |TERMINATED |
|               895 | 30 |     READY |   RUNNING |
|               899 | 20 |   WAITING |     READY |
|               905 | 30 |   RUNNING |   WAITING |
|               905 | 20 |     READY |   RUNNING |
|               912 | 20 |   RUNNING |   WAITING |
|               920 | 30 |   WAITING |     READY |
|               920 | 30 |     READY |   RUNNING |
|               924 | 20 |   WAITING |     READY |
|               930 | 30 |   RUNNING |   WAITING |
|               930 | 20 |     READY |   RUNNING |
|               937 | 20 |   RUNNING |   WAITING |
|               945 | 30 |   WAITING |     READY |
|               945 | 30 |     READY |   RUNNING |
|               949 | 20 |   WAITING |     READY |
|               955 | 30 |   RUNNING |   WAITING |
|               955 | 20 |     READY |   RUNNING |
|               962 | 20 |   RUNNING |   WAITING |
|               970 | 30 |   WAITING |     READY |
|               970 | 30 |     READY |   RUNNING |
|               974 | 20 |   WAITING |     READY |
|               980 | 30 |   RUNNING |   WAITING |
|               980 | 20 |     READY |   RUNNING |
|               987 | 20 |   RUNNING |   WAITING |
|               995 | 30 |   WAITING |     READY |
|               995 | 30 |     READY |   RUNNING |
|               999 | 20 |   WAITING |     READY |
|              1005 | 30 |   RUNNING |   WAITING |
|              1005 | 20 |     READY |   RUNNING |
|              1012 | 20 |   RUNNING |   WAITING |
|              1020 | 30 |   WAITING |     READY |
|              1020 | 30 |     READY |   RUNNING |
|              1024 | 20 |   WAITING |     READY |
|              1030 | 30 |   RUNNING |   WAITING |
|              1030 | 20 |     READY |   RUNNING |
|              1037 | 20 |   RUNNING |   WAITING |
|              1045 | 30 |   WAITING |     READY |
|              1045 | 30 |     READY |   RUNNING |
|              1049 | 20 |   WAITING |     READY |
|              1055 | 30 |   RUNNING |   WAITING |
|              1055 | 20 |     READY |   RUNNING |
|              1062 | 20 |   RUNNING |   WAITING |
|              1070 | 30 |   WAITING |     READY |
|              1070 | 30 |     READY |   RUNNING |
|              1074 | 20 |   WAITING |     READY |
|              1080 | 30 |   RUNNING |   WAITING |
|              1080 | 20 |     READY |   RUNNING |
|              1087 | 20 |   RUNNING |   WAITING |
|              1095 | 30 |   WAITING |     READY |
|              1095 | 30 |     READY |   RUNNING |
|              1099 | 20 |   WAITING |     READY |
|              1105 | 30 |   RUNNING |   WAITING |
|              1105 | 20 |     READY |   RUNNING |
|              1112 | 20 |   RUNNING |   WAITING |
|              1120 | 30 |   WAITING |     READY |
|              1120 | 30 |     READY |   RUNNING |
|              1124 | 20 |   WAITING |     READY |
|              1130 | 30 |   RUNNING |   WAITING |
|              1130 | 20 |     READY |   RUNNING |
|              1137 | 20 |   RUNNING |   WAITING |
|              1145 | 30 |   WAITING |     READY |
|              1145 | 30 |     READY |   RUNNING |
|              1149 | 20 |   WAITING |     READY |
|              1155 | 30 |   RUNNING |   WAITING |
|              1155 | 20 |     READY |   RUNNING |
|              1162 | 20 |   RUNNING |   WAITING |
|              1170 | 30 |   WAITING |     READY |
|              1170 | 30 |     READY |   RUNNING |
|              1174 | 20 |   WAITING |     READY |
|              1180 | 30 |   RUNNING |TERMINATED |
|              1180 | 20 |     READY |   RUNNING |
|              1187 | 20 |   RUNNING |   WAITING |
|              1199 | 20 |   WAITING |     READY |
|              1199 | 20 |     READY |   RUNNING |
|              1206 | 20 |   RUNNING |   WAITING |
|              1218 | 20 |   WAITING |     READY |
|              1218 | 20 |     READY |   RUNNING |
|              1225 | 20 |   RUNNING |   WAITING |
|              1237 | 20 |   WAITING |     READY |
|              1237 | 20 |     READY |   RUNNING |
|              1244 | 20 |   RUNNING |   WAITING |
|              1256 | 20 |   WAITING |     READY |
|              1256 | 20 |     READY |   RUNNING |
|              1263 | 20 |   RUNNING |   WAITING |
|              1275 | 20 |   WAITING |     READY |
|              1275 | 20 |     READY |   RUNNING |
|              1282 | 20 |   RUNNING |   WAITING |
|              1294 | 20 |   WAITING |     READY |
|              1294 | 20 |     READY |   RUNNING |
|              1301 | 20 |   RUNNING |   WAITING |
|              1313 | 20 |   WAITING |     READY |
|              1313 | 20 |     READY |   RUNNING |
|              1320 | 20 |   RUNNING |TERMINATED |
+------------------------------------------------+
+---------------------------------------------------------------------------------------------------+
|        Throughput |  Average Turnaround Time |    Average Waiting Time |    Average Response Time |
+---------------------------------------------------------------------------------------------------+
|           0.00227 |               1115.00000 |               177.33333 |                  7.33333 |
